IRIS;COM;DISP_Q113;DISP_MED13;DISP_Q313;DISP_EQ13;DISP_PTSAC13;DISP_PBEN13;DISP_PPEN13;DISP_PPAT13;DISP_PPSOC13;DISP_PIMPOT13
440470101;44047;15243,33333;18882,77778;24414;0,485663009;77,6;5;19,7;5,6;6,6;-14,5
440470102;44047;16712,5;20652,66667;25960,66667;0,447795281;82,2;1,6;20,4;5,1;5,4;-14,7
440470103;44047;17021,5;21055,83333;25828,66667;0,418276804;77;1,6;25,9;5,7;4,7;-14,9
440470201;44047;17424,4;21635,6;26938;0,439719721;81,1;3,4;20,2;6,5;4,6;-15,8
440470202;44047;18297,33333;22814,16667;29075,66667;0,47244037;74;4,5;26,4;9,3;3,3;-17,5
440470301;44047;17722,30769;21834,8;27379,44444;0,442281896;71,4;2,3;31,5;7,4;3,5;-16,1
440470302;44047;17032,4;20750,95238;25547,5;0,410347431;71,9;2,4;29,3;6,9;4,5;-15
440550101;44055;18897,33333;29268,66667;43314;0,834225452;29,3;8,4;52,3;36,8;1,2;-28
440550102;44055;18097;28004;44978;0,959898586;26,1;9,2;56,3;33,1;1,5;-26,2
440550103;44055;16836,15385;23541;33479;0,706972777;37,1;4,2;56,2;20,1;2,4;-20
440550104;44055;15385;20444,5;28065;0,620215706;49,1;8,9;41,9;13,2;4,3;-17,4
440550105;44055;17970;23919,6;32802,5;0,620098162;57,6;10,9;34,9;14,4;2,3;-20,1
440550106;44055;18250;24633,33333;33792;0,630933694;52,8;9;41,5;14,7;2,2;-20,2
440690101;44069;15383,5;19700,5;26040;0,540925357;54,2;7,9;36,1;14,3;4,4;-16,9
440690102;44069;17398,57143;22324,66667;29216;0,52934401;61,7;9,6;31,1;13,4;3,5;-19,3
440690103;44069;15103,2;19599,42857;25502,5;0,530592;61,4;4;34,9;8,3;6,2;-14,8
440690105;44069;17038;23170,66667;34976,08696;0,774172242;49,2;11,9;35,8;25;2,3;-24,2
440690106;44069;17167,14286;22019,04762;29645;0,566684689;62,8;11,3;27,5;13,4;3,5;-18,5
440690107;44069;17126,66667;21620;27761,42857;0,49189463;72,6;8,3;23,5;10,5;3,3;-18,2
441090101;44109;18185;26566,45833;37786,5;0,737828873;67,2;8,6;29;16,8;2,9;-24,5
441090102;44109;16298;24097;36082,38095;0,821030873;69,6;10,4;24,5;15;3,4;-22,9
441090103;44109;17330,5;26898;38413,2;0,78380177;70,8;14,6;20,4;16,8;3,4;-26
441090104;44109;19797,5;28969,44444;41996,08696;0,766275895;57,9;14,2;30;23,8;2,6;-28,5
441090105;44109;16606,66667;23488;33819;0,732813919;72,4;9,1;22;13,8;4,3;-21,6
441090106;44109;16140;23912,5;34273,33333;0,758320265;77,6;10,2;18,2;12,2;4,1;-22,3
441090108;44109;13509,52381;18686,11111;25844,28571;0,660103209;86,9;6;10,8;6,2;7,6;-17,5
441090109;44109;13826,25;19169;26503,33333;0,661332533;85,3;4,5;15,4;6,9;6,7;-18,8
441090201;44109;13131,66667;17980;22612,77778;0,5273143;69;2,7;26,4;5,7;9,7;-13,5
441090202;44109;10718,51852;14399,33333;18595,33333;0,547026354;63;1,3;25,8;4,5;16,4;-11
441090203;44109;10110,52632;13152,22222;17214,64286;0,54014572;62,8;1,6;17,9;3,8;23,6;-9,7
441090204;44109;11007,6;14618;19502,69231;0,581139165;61,8;2,3;24,3;7,4;16,2;-12
441090205;44109;17521;23681;32403,46154;0,628455789;72,6;6,7;25,2;10,7;4,2;-19,4
441090206;44109;15300,83333;21606;30575;0,706940973;73,8;8,9;20,5;10,9;6;-20,1
441090207;44109;16661;22666,19048;29622,66667;0,571850249;77,7;8;18,9;9,5;4,9;-19
441090208;44109;16276;21616,11111;29415;0,607833663;80,7;5,5;18,4;8,1;5,4;-18,1
441090301;44109;17147,04167;22725,66667;30330,41667;0,580109494;72,8;6,4;25,4;9,4;4,3;-18,3
441090302;44109;13791;20007,3913;28142,08333;0,717289082;66,5;7;27,5;9,9;7,5;-18,4
441090303;44109;9262;12314;15588;0,513724216;57,3;0,7;17,8;2,1;29,3;-7,2
441090304;44109;13942,68293;20474,02564;31437,6;0,854493268;62,5;11,7;26,8;11,8;6,7;-19,5
441090305;44109;17788;24042;34160,95238;0,681014574;70,6;7,2;26,5;14,6;3,2;-22,1
441090306;44109;15786,15385;22598,97436;31891,42857;0,712655117;73,9;9,5;21,5;9,7;5,1;-19,7
441090307;44109;17458;24098,125;33009;0,645319916;77;7,3;22,7;11;4,1;-22,1
441090308;44109;20143,61905;28851;41116;0,726920417;70;10,7;24,9;18,8;2,3;-26,7
441090309;44109;18744,34783;27044,66667;37300,47619;0,686128936;68,4;12,4;24,8;17,3;2,6;-25,5
441090311;44109;15173;20840,16667;27835,33333;0,60759271;82,9;7,2;14,8;8,6;6,4;-19,9
441090312;44109;15686;21355,6;29617;0,652334751;74,8;6,2;23,6;10,6;4,5;-19,7
441090401;44109;17081;24303,125;36040;0,780105439;63,3;8,9;31,9;14,3;3,8;-22,2
441090402;44109;21732,4;31769,52381;46244;0,771544457;59,9;17;27,8;22,5;2,1;-29,3
441090403;44109;15646,92308;21903,33333;31450,66667;0,721522307;72;7,7;23,6;12,1;4,9;-20,3
441090404;44109;16732;22944;32370;0,681572524;70,4;8,7;19,7;21,4;3,9;-24,1
441090405;44109;16818;23179,48718;32198;0,663517699;73,3;8,9;21,7;12,6;4,4;-20,9
441090406;44109;18876;26382,5;36659,44444;0,674062141;65,3;8,4;29,7;15,8;3,1;-22,3
441090407;44109;19625,33333;28062,75;37981,33333;0,654105531;72,4;10,2;23;15,4;2,9;-23,9
441090408;44109;17182,8;23800,76923;33818,48485;0,698955764;71,9;6,7;26;11,7;4,3;-20,6
441090409;44109;18693;27002;36497,33333;0,659370911;71,6;7,4;27,3;13;3,1;-22,4
441090410;44109;17247,14286;24116,08696;33204,66667;0,66169623;77,4;7,3;21,9;10,8;4;-21,4
441090501;44109;19098,69565;23927,14286;34948,69565;0,662427608;72,1;10;20,7;16,7;3,1;-22,6
441090502;44109;16603,33333;23050,60465;30525,33333;0,60397548;75,8;3,9;25,1;9;4,5;-18,3
441090503;44109;17825,6;25217,5;32208,92857;0,570370916;77,6;5,4;22,7;9,2;4,3;-19,2
441090504;44109;13641,66667;18563;25819,33333;0,656018244;81;3,6;16,5;6,7;8,3;-16,1
441090505;44109;15691,90476;22175;31155;0,697321093;80,7;4,6;20,5;8;5,2;-19
441090506;44109;10268,69565;13081;16653,80952;0,488121235;62,7;0,7;18,4;2,1;25;-8,9
441090508;44109;16021,42857;22952;32577,07317;0,72131599;74,6;7,8;21,5;12,7;4,5;-21,1
441090509;44109;16665,21739;23391,33333;31938;0,652924841;78,2;5,3;23;10,1;4,2;-20,8
441090510;44109;18783;26089,33333;37168,70968;0,70472133;66,1;10,8;26,4;16,4;3,8;-23,5
441090511;44109;17396,66667;23998,5;32314;0,621594405;73,4;8,3;22,7;13;4;-21,4
441090602;44109;12960,66667;17619;24253,80952;0,640963894;82,6;5,6;13,6;5,4;9,3;-16,5
441090603;44109;14988,4;19445;24961,90476;0,512908448;69,2;2,1;31,5;7,4;6;-16,2
441090604;44109;14195;18813,1625;24293,33333;0,53676958;76,6;2,8;22,4;5,9;8,4;-16,1
441090701;44109;18826;25766;35679,33333;0,654091956;72,3;8,3;25,5;14;2,6;-22,7
441090702;44109;10468,33333;13526,5;17765,33333;0,539459579;60,8;1,1;24,6;4,4;20,1;-11
441090703;44109;18988,33333;25993,16667;35511,83333;0,635686302;66,8;8,7;30,5;12,6;3,1;-21,7
441090705;44109;17728,66667;22493,33333;28874,44444;0,49551472;71,2;3,2;31,6;8,7;3,6;-18,3
441090706;44109;17123,33333;22086,66667;28944,7619;0,535229184;68,2;4,3;30,9;10,8;4,3;-18,5
441090707;44109;17786;22627,61905;28589,33333;0,477440128;63,8;2,7;39,6;8,5;3,3;-17,9
441090708;44109;18150;25834;36374,7619;0,705456449;68,9;7,5;27;15,3;4,1;-22,8
441090709;44109;20198;27802,28571;41122,66667;0,752623971;68,2;12,8;21,8;19,4;2,9;-25,1
441090710;44109;18954,66667;25527,3913;37282,69231;0,717974877;79,4;9,4;18,5;11,9;3,2;-22,4
441090801;44109;14766;20773,2619;28767,33333;0,674007452;73,8;4,5;25,3;8,2;6,4;-18,2
441090802;44109;13794,24242;20153;26274,7619;0,619288418;70,4;3;27,6;7,1;6,9;-15
441090803;44109;10120,74074;13626,66667;18330;0,602440748;67,4;1,6;16,5;3,2;21,4;-10,1
441090804;44109;11957,5;15282;19165;0,471633294;65;3,1;23,8;6,2;14,3;-12,4
441090806;44109;12454;17607;24001,33333;0,65583764;65,5;2,3;28,6;6,7;11,1;-14,2
441090807;44109;10818,125;14922,5;19709;0,595803317;61,5;1,1;26,9;6,1;16;-11,6
441090808;44109;16815;23102;30847,77778;0,607426966;56;3,9;42,2;12,1;4,1;-18,3
441090809;44109;16462;22578,53333;31784,66667;0,678638707;81;4,4;19,7;11;4,4;-20,5
441090901;44109;16667,82609;23346,2963;31192;0,622118975;71,6;7,8;25,2;10,2;4,4;-19,2
441090902;44109;17400;22157,5;29444,28571;0,543576022;73,8;5;27,3;8,9;4;-19
441090903;44109;10982,66667;14301,53846;18552,19231;0,529280515;64,4;2,1;22,3;4,7;17,6;-11,1
441090904;44109;18613,33333;25057,91667;33161;0,580561699;80,5;4,1;22;11,4;3,6;-21,6
441090905;44109;11721,33333;16609,08333;23983,88889;0,738304174;69,5;3,7;24,2;6,5;11,3;-15,2
441090906;44109;12356,11111;16207,22222;21129;0,541295033;75,3;1,3;19,3;4,4;12,5;-12,8
441090909;44109;18652,66667;23787;30713,125;0,50701889;90,1;2,6;13,2;8;4,2;-18,1
441090910;44109;15399;20004;26024,7619;0,531181859;81;1,7;19,7;6,1;6,7;-15,2
441091001;44109;16080;21769,27536;28630,5;0,576523554;72,6;5,5;25,9;8;5,7;-17,7
441091002;44109;19134;24182,29167;31115,05556;0,495447484;77,7;2,8;26,8;9,1;2,8;-19,2
441091003;44109;15750;21740,95238;29226,83333;0,619882381;69,1;4,9;28,4;10,8;5;-18,2
441091005;44109;16123,33333;20059,52381;24941,90476;0,439620178;66,5;1,6;35,6;7,4;4,9;-16
441091006;44109;9148,333333;12408;16272,4;0,574151085;58;0,7;21,5;3,1;24,9;-8,2
441091007;44109;16028;20722,86667;26585,33333;0,509453325;79,1;3,4;22,1;6,5;5,3;-16,4
441091008;44109;9142,307692;12107,08333;15410,5;0,517729344;54,8;0,8;20,2;1,9;29,3;-7
441091009;44109;14479,04762;19530,7;25031,11111;0,540280865;81,9;2,4;16,6;5,8;8,5;-15,2
441091010;44109;17097;21350;26672,66667;0,448508977;84,9;2,5;17,4;5,4;6;-16,2
441091011;44109;17228;22290,66667;29088,33333;0,532076205;69,8;4,3;31,6;8,1;4,4;-18,2
441091101;44109;11693,7037;15704;21751,33333;0,64045018;70,4;4,4;19,9;6,5;13,3;-14,5
441091102;44109;13735;17916;23829,33333;0,563425616;73,7;4,6;21,6;6,8;8,8;-15,5
441091103;44109;16343,33333;21017,22222;27674;0,539113425;82,7;3;18,8;7,3;5,3;-17,1
441091104;44109;17518,8;22365,33333;29035,5;0,514935317;72,3;6,2;26,5;9,3;3,9;-18,2
441091105;44109;17227,28571;22462;29108,66667;0,528954721;75,8;4;25,6;8,3;4;-17,7
441140101;44114;24110;31636;41787,6;0,558781135;66,5;9,3;33,8;12,9;1,3;-23,8
441140102;44114;16461;20330,95238;24894,78261;0,414824768;69,9;1,5;31,6;6,6;4,9;-14,5
441140103;44114;19307,82609;25948,33333;34464,7619;0,584119821;77;4,7;23,4;12,5;3,1;-20,7
441140104;44114;17952;22890,95238;29685;0,512560587;80,4;4,5;20,4;8,4;4,2;-17,9
441140105;44114;23072,5;29368,66667;36228,09524;0,447946629;67,6;4,4;35,7;10,7;2;-20,4
441140106;44114;18380;25656;34775,5;0,639051294;66,1;4;34;13,8;3,4;-21,3
441140107;44114;16799,5;21693,2;28100,47619;0,520945559;73,2;3,1;28,5;9,1;3,8;-17,7
441140108;44114;11626;15935,5;21154,66667;0,597952161;65,9;0,6;27,6;4,8;13,2;-12,1
441140109;44114;19725,66667;25929,33333;33902;0,546729573;64,3;4,1;36,2;13,4;2,4;-20,4
441140110;44114;16681,81818;23072,38095;30644;0,605146987;61,3;2,8;37,6;10,6;4,9;-17,2
441140111;44114;21472,30769;28714,8;38556,4;0,594957733;60,6;7,1;37,8;15;1,9;-22,4
441310101;44131;16279,5;22415;31825,71429;0,693562984;45,5;6,4;48,1;16,3;3,2;-19,5
441310102;44131;17483,5;22962,85714;31180,4;0,596480652;48;7,4;45,2;14,5;2,6;-17,7
441310103;44131;16647,66667;20472,6087;26142,66667;0,46379043;66,7;6,6;27,8;10;4,6;-15,7
441310104;44131;17734,28571;23704;31630;0,586218119;51,4;8,1;41,7;15,4;2,7;-19,3
441320101;44132;16923,47826;23845;33642;0,701133225;41,3;8,9;47,2;22,3;2,3;-22
441320102;44132;17184;23402,25;31790,66667;0,624156509;43,7;8,5;47,4;17,4;3,1;-20,1
441320103;44132;18211,53846;24143,33333;32046,8;0,573046868;56,5;8,7;37,7;14,2;2,7;-19,8
441320104;44132;19169,5;24155,33333;30840,66667;0,483171418;67,4;5,7;29,9;11,9;3,1;-18
441430201;44143;14595;18966,66667;24636,25;0,529415641;72,1;3,2;25,8;7,3;6,5;-14,9
441430301;44143;14689,6;19229,69697;24547,33333;0,512630716;70,7;5,1;25,8;8;6,1;-15,7
441430302;44143;16462;21148,26087;27363;0,515456097;73,1;3,3;28,1;8,2;4,2;-16,9
441430303;44143;17317,69231;21705,71429;27770,47619;0,481568298;75,9;2,5;25,8;7,8;4,2;-16,2
441430401;44143;11880,3125;15807,33333;20437;0,541311258;63,8;0,9;28,7;4,9;13,2;-11,5
441430402;44143;17736,92308;22022;27265,41667;0,432680664;67,6;2,9;34,1;7,4;3,6;-15,6
441430501;44143;16760,5;21326,8;25846,19048;0,42602221;68,5;3,3;31,1;8,3;4,5;-15,7
441430502;44143;17423,125;21934,7619;26985,33333;0,435938552;71,2;2,6;30,7;7,4;3,7;-15,6
441430601;44143;16350,76923;21085,71429;26880;0,499353763;73,6;2,2;27,6;7,3;4,8;-15,5
441430602;44143;16386;21365,55556;27307,33333;0,511165427;73;3,2;27,4;7,6;4,9;-16,1
441430701;44143;16103,2;20500;26090;0,487160976;81,9;3;17,9;7,2;5,9;-15,9
441430702;44143;17199;21771,5;27734;0,483889489;72,1;2,8;28,4;8,5;4,3;-16,1
441540101;44154;16910;21254,7619;27037;0,476457937;50,1;5,8;46,8;10,4;3,4;-16,5
441540102;44154;15850,4;19607,61905;25365,33333;0,485267146;43,2;2,2;54;12,2;3,7;-15,3
441540103;44154;17443;22421,33333;29120,47619;0,520819882;62;4,1;35,3;13,4;3,5;-18,3
441540104;44154;17518,84615;21504,07407;26092,38095;0,398693511;73,4;3,3;26,1;8,3;4,4;-15,5
441620101;44162;9418;12821,53704;17097,2;0,598929752;55,9;2,9;25,5;5,1;21,4;-10,8
441620102;44162;18028;23212,6087;30212,22222;0,524896722;59,5;2,9;42,1;10,6;3,2;-18,3
441620103;44162;17083;21223;25918;0,416293644;58,2;2,5;43,4;7,9;3,5;-15,5
441620201;44162;19387,30769;25786;33133,33333;0,53308096;60,9;6,3;37,9;13,5;2,5;-21,1
441620202;44162;18589,33333;23206,66667;30782,8;0,525429474;63,7;2,5;39,4;11,5;2,2;-19,3
441620203;44162;15943,33333;20312,77778;26498,26087;0,519620096;69,6;2,9;31,6;7,6;4,8;-16,5
441620301;44162;16416,66667;21999,04762;29077,2;0,575503701;82,7;6,2;16,7;7,5;5,3;-18,4
441620302;44162;15562,4;20446,66667;25241,33333;0,473374633;57,5;2,2;42,8;7,8;5;-15,3
441620401;44162;13912;19431,6129;25229,2;0,582411767;63,2;1,4;34,3;6,7;8,9;-14,5
441620402;44162;15425,6;19997,5;24505,2381;0,45403866;72,7;2,1;28,1;5,7;6;-14,6
441620501;44162;10895,61538;13920,86957;17464,16667;0,471849208;65,6;1,3;20,1;2,8;20,1;-9,9
441620502;44162;11136,89655;15037,2;19560,5;0,560184306;60,1;1,1;29,8;4,6;15,5;-11,1
441620503;44162;16392;20695;26092;0,468712249;56,8;2;45,7;7,1;4,1;-15,7
441620504;44162;11687,08333;16235;20584;0,548008418;65,7;0,8;27,5;4,3;13,4;-11,7
441620505;44162;13422,85714;17563,33333;22255;0,502873953;62,1;1;35,5;6;8,2;-12,8
441620602;44162;16847,14286;22170;28982,66667;0,547384926;72,4;3,7;28,4;7,8;4,5;-16,8
441620603;44162;14664,8;19596,92308;25161,33333;0,5356215;68,1;1,5;31,3;7,3;7,1;-15,3
441620604;44162;17851,6;23004;29304;0,497843853;74,7;2,8;28,4;7,8;3,7;-17,4
441620701;44162;16836,66667;21235,33333;27028,33333;0,479939095;71,1;1,6;31,3;6,4;4,9;-15,3
441620702;44162;16434,58333;20708;26554,66667;0,488704044;79;3;23,6;6,9;4,8;-17,3
441620801;44162;17982;23336,78571;29475,6;0,492509986;75,1;3,7;24,7;11,4;3,6;-18,5
441720101;44172;19823,33333;25100;30992;0,444966799;73,5;1,9;32,5;8,2;2,2;-18,3
441720102;44172;19302;24882;31796;0,502130054;63;3,5;38,6;11,4;2,5;-19
441720103;44172;19647;25113,33333;31976,66667;0,490960977;66,8;2,9;35,7;11,2;2;-18,6
441720104;44172;15480,66667;21308,75;26835,55556;0,532874471;66,4;1,2;35,3;8,6;4,6;-16,1
441720105;44172;17050,4;21458,38889;26851,42857;0,45674578;87,8;3,1;14,2;7;4,8;-16,9
441840101;44184;13855,35714;17435,35714;21320;0,428132489;66,1;2,2;28,6;6,3;9,2;-12,4
441840103;44184;14308;18015;22096;0,432306411;66,7;1,9;30,7;6,1;7,4;-12,8
441840104;44184;13112;17323,47826;22876,66667;0,563666633;61,5;3,8;32,7;7,4;8,2;-13,6
441840105;44184;12807;17726,66667;22583,33333;0,551504325;66,8;3,9;28;6,4;8,6;-13,7
441840106;44184;14620;19165,65217;24536;0,517383907;63,5;7,6;30,6;8,6;6,6;-16,9
441840107;44184;14486;18559,5;24370;0,53255745;62,7;2,4;36,2;7,4;6,7;-15,4
441840108;44184;17059;22708,3871;31002;0,614002216;56,8;6,6;38;12,6;3,8;-17,8
441840109;44184;14489,23077;18557,3913;23436,66667;0,482149444;66,7;2,3;31,6;5,8;7,2;-13,6
441840110;44184;14613;18607,33333;23573,5;0,48155745;60,9;4,5;34,8;6,8;7,3;-14,3
441840111;44184;14893,2;19385;24633;0,502440031;63;2,9;34,2;7,6;6,7;-14,4
441840112;44184;12574,66667;17119,33333;22787,33333;0,596557498;52,3;1,7;40,9;7,5;10,8;-13,2
441840113;44184;15748;21195,83333;28561,33333;0,604521329;54,3;4,9;42,7;9,5;5,2;-16,6
441840114;44184;15786,66667;21246,52174;28841,33333;0,614437828;54,2;5,3;42,8;10,3;4,6;-17,2
441840115;44184;9945;13209,56522;18096,11111;0,617061272;53,8;1,9;31,2;4,1;18,3;-9,3
441840116;44184;12280;18270,47619;23727;0,626529921;64,5;3,2;30,4;6,6;9,3;-14
441840117;44184;16540,4;20623,33333;25726;0,445398416;68,5;2,2;32,9;7,1;4,9;-15,6
441840119;44184;10269,04762;13186,66667;17005,38462;0,510844565;;;;;;
441840120;44184;13948;17864,78261;21874,33333;0,443684847;;;;;;
441840122;44184;10400,66667;13055,38462;17285,38462;0,527347003;56,4;1,5;25,3;3,5;22,5;-9,2
441840123;44184;14504,07407;19318,66667;24728;0,529225236;47,4;2,5;49,8;7,3;7;-14
441840124;44184;12780;17266,8;22704;0,574744597;57;0,9;39;5,6;9,8;-12,3
441840125;44184;14690;19557,69231;27519;0,655956735;53,8;4,8;41;11,4;6,3;-17,3
441840126;44184;14794,16667;19158,4;25060;0,535839806;47,9;2,9;48,8;8,5;6,6;-14,7
441840130;44184;19270,90909;25094,66667;32187,91667;0,514731188;63,4;5,9;34,2;12,9;3;-19,4
441840131;44184;18036,42857;24270;31790;0,566690211;68;6,3;30,2;13;3,2;-20,7
441840132;44184;13722;18688,66667;23797;0,539096779;71;1,9;26,3;5,6;9,3;-14,1
441840133;44184;17778,33333;22425,85714;28597,27778;0,482431703;61,5;5,1;35;12,4;2,7;-16,7
441840134;44184;17591,90476;21766,8;27045;0,434289617;69,3;4,3;30,6;8;4,2;-16,4
441900101;44190;16395,2;21473,33333;28982;0,586159578;66,4;5;32,4;9,4;4,4;-17,6
441900102;44190;17471,48148;22890,4;29083,33333;0,507280425;68,3;5,1;31,9;9,3;3,6;-18,2
441900103;44190;16834;22226,19048;29567,33333;0,572897697;65,5;4;34,2;10,8;3,9;-18,4
441900104;44190;17254,66667;22064,66667;30654,66667;0,607305798;64,5;4,6;36,5;11,1;3,4;-20,1
441900105;44190;19231,33333;24616,8;31767,61905;0,509257325;68,2;5,2;31,3;12,1;2,5;-19,3
441900106;44190;18473,07692;23448;30203;0,500252605;71,8;3,5;29,8;9,6;2,8;-17,5
441900107;44190;18693;23356,4;29273;0,452980768;73,4;5,5;27,4;7,4;3,4;-17,1
441900108;44190;18685,2;23244;29088,5;0,447569265;66;3,9;36,7;8,4;2,3;-17,3
441900110;44190;16105;20720;25926,66667;0,474018662;71,7;3;28,3;6,3;5,2;-14,5
441900111;44190;16735;21539,33333;27820;0,514639884;79,7;3,6;21,3;7,9;4,5;-17
442150101;44215;16965;22410,83333;30077,6;0,585100956;66,5;4,8;31,6;10,8;4,2;-17,9
442150102;44215;18957,30769;23983,33333;31997,2;0,54370642;67,4;4,6;32,7;12,6;2,4;-19,7
442150103;44215;17624,66667;22379,33333;29347;0,523801722;69,3;3,3;32,2;8,2;3,7;-16,7
442150105;44215;18453,92857;24045,33333;31855,33333;0,557339113;73,7;5,6;25,6;11,8;2,6;-19,3
442150106;44215;18255,09524;24207,94384;31091,8;0,530268281;72,2;6,5;25,9;12,7;2,7;-20
442150107;44215;19038,26087;24318;32100,5;0,537142821;80,7;6,6;19,6;11;2,5;-20,4
442150108;44215;19590,66667;26296,19048;34048,33333;0,549800804;78,4;10,5;18,9;10,6;2,6;-21
450040101;45004;13660;18274;23256;0,525117653;65,7;2,7;30,7;7,2;7,7;-14
450040102;45004;16964;22638;30270;0,587772771;55,9;7,6;35,5;19,5;3,1;-21,6
450040103;45004;16503,2;20682,17391;26911,33333;0,503241747;66,8;3,8;31,4;9,9;5,2;-17,1
450040201;45004;18086;23434,4;29916,66667;0,504841885;60,5;3,5;40,4;11,8;2,3;-18,5
450040202;45004;15902,22222;19976,66667;25775;0,494215474;58;3;39,6;11,3;4,3;-16,2
450680101;45068;10694;15591,33333;20900,66667;0,654637192;58,1;2,2;34,4;8;10,3;-13
450680102;45068;13187,08333;17781,33333;22420;0,519247713;57,4;2,9;39,3;6,7;7,2;-13,5
450680103;45068;11291;14304,21053;19432,66667;0,569179729;57,9;1,3;33,1;5,4;12,6;-10,3
450680104;45068;11606;16354;21092;0,58004158;49,4;1,6;44,1;7;9,9;-12
450680105;45068;9298;11864,81481;15175,41667;0,495365226;;;;;;
451470102;45147;15865,71429;20421,66667;25850,66667;0,488939152;57,9;1,7;41,6;8,6;5,7;-15,5
451470103;45147;12864,78261;17853,80952;24399,52381;0,646066106;78,8;1,8;19,3;5,6;9,3;-14,8
451470201;45147;10374,54545;14637,2;19617,33333;0,631458741;65;1,4;23,9;5;16,6;-11,9
451470301;45147;17702,22222;22484,66667;28500;0,480228501;58,3;2,3;43,6;10,7;2,7;-17,6
451470302;45147;12541,42857;16198,13462;21042;0,524787059;70,3;0,6;26,8;4,9;10,4;-13
451470303;45147;19025;24143,33333;30481,42857;0,474517268;66,9;2,6;35,9;9,9;2,4;-17,7
451470401;45147;17465;22673,33333;29359,33333;0,524595707;76,5;2,5;26,7;8,5;3,8;-18
451470402;45147;10808,69565;15543;21558,33333;0,691606362;69,4;2,2;24,4;5,3;12,2;-13,5
451550101;45155;13679;18858,5;24319,52381;0,564229595;57;4,2;36,1;10,8;6,5;-14,6
451550102;45155;15018;20594,34783;27654,28571;0,61358028;54,4;9;35,8;15,6;3,8;-18,6
451550201;45155;12560,90909;17257,27273;23113,96429;0,611513497;70,2;2,2;24,6;6,5;10,1;-13,6
451550202;45155;11320,8;15759,04762;21251;0,630126911;60,8;0,7;32,6;5,1;12,6;-11,8
451550301;45155;9111,428571;12465,33333;19392;0,824732974;;;;;;
451550302;45155;13022;18226;23780;0,590255679;60,4;4,7;31,4;10,4;8,1;-15
452080101;45208;8214,5;11715,1875;15946,56522;0,66000354;;;;;;
452080102;45208;10634,83871;15161,84211;20802,77778;0,670626893;60,7;2,6;28,1;9,5;12,6;-13,5
452080103;45208;13158,62069;18721,42857;27640,66667;0,773554535;59,3;9,9;29,9;14,8;6,5;-20,4
452080104;45208;10230,625;14041,33333;18436;0,584372923;46,5;0,6;42,3;5,7;14,4;-9,5
452080105;45208;11523;15691;20955,38462;0,601133428;52,9;6,7;36,3;8,2;10,4;-14,5
452080106;45208;14370;18982,66667;25082,38095;0,564324346;58,1;2,5;39,2;9,8;5,3;-14,9
452080107;45208;10627,31707;16047,77778;23948;0,83006402;59,3;14,8;23,4;12,6;10;-20,1
452320101;45232;21027,61905;28272,5;36912,33333;0,561843285;65,6;4,9;33,7;16,9;1,6;-22,7
452320102;45232;16754;22491,5;30273,33333;0,601086336;75,5;4,9;26,1;11;3,3;-20,8
452320103;45232;17184;21892;28689;0,525534442;68,7;2,2;33;10,2;3,7;-17,8
452320201;45232;21534,70588;29378,84615;39202;0,601361062;63,9;9,4;32,4;16,6;2;-24,3
452320202;45232;19063;26799,33333;37127;0,674046618;65,8;5,9;31,8;16,6;2,4;-22,5
452320203;45232;16571;22885,2381;31418,66667;0,648787948;71,5;3,5;28,7;11,6;4,2;-19,5
452320301;45232;21010,83333;26713,33333;35021,11111;0,524467598;71,8;8,1;25,9;14,7;2,1;-22,6
452320303;45232;15652,30769;20736,4;30478,8;0,714998375;68,4;5,8;31,7;11,5;3,9;-21,3
452320304;45232;19927,91667;26520,47619;35589,33333;0,590540553;66,4;8,3;30,8;14,9;2,3;-22,7
452340101;45234;14214,66667;20924;29656,66667;0,738004206;75,6;9,8;19;10,8;5,3;-20,5
452340102;45234;13165;18525;27251;0,760377868;75,7;8,9;17,1;10,4;6,5;-18,6
452340103;45234;14724,66667;20746,66667;30236;0,747654242;84,8;6,9;15,3;8,9;4,5;-20,4
452340201;45234;16896,66667;25994,28571;38627,33333;0,835978603;72,3;13,1;21,5;16;3,4;-26,3
452340301;45234;14259;20688;31526;0,834638438;76;9,7;18,3;13,4;5,1;-22,5
452340401;45234;13049,23077;19287,33333;28350,4;0,79332736;77,6;7;18,8;9,5;6,2;-19,1
452340501;45234;16212;22209,33333;30635;0,649411659;68,1;5,5;26,8;16,5;4,2;-21,1
452340502;45234;14804,28571;21143;28613,33333;0,653126218;74,6;4,9;23,4;9,2;6,1;-18,2
452340601;45234;9199,52381;11968;15628;0,537138719;59,4;0,9;23,1;4,7;20,3;-8,4
452340602;45234;9947,5;13169,14286;17924;0,605696216;60,2;1,8;26;4,6;17,3;-9,9
452340603;45234;8823,043478;11475,2381;14992,08333;0,537595804;;;;;;
452340604;45234;10575,71429;14832,96296;20324;0,657204211;64,3;0,8;28,5;4,9;12,2;-10,7
452340701;45234;14997,82609;19838,33333;25549,5;0,531883084;83,4;2,1;18,5;6,4;5,9;-16,3
452340702;45234;14259,58333;19968,66667;26427,5;0,609350482;69,9;2,9;27,4;8,9;7;-16,1
452340801;45234;17473,33333;24589;33548,27778;0,653745351;65,2;6,3;32,6;14;2,8;-20,9
452340802;45234;14895,33333;19986,11111;28100;0,660692147;76,6;2,7;23;10,4;6,2;-18,9
